Codigo da IES,Natureza,Situacao,DIAS,%,CI N,CI V,IGC_N,IGC_M,IGC_V,EAD_17,variacao mat,mat_T 2017,% FIES,CURSOS,saldo 2017,Variacao 17-16
12718,1,Ativa,84,0.625,3,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
1712,1,Ativa,6545,0.611111111111111,3,S/C,2.447154573828251,2.3856,2.3856,1,0.709251101321586,227,0.0,3,95453.0,-0.383119526933144
3787,1,Ativa,1351,0.692307692307692,3,S/C,1.4999,1.4999,1.4999,1,-0.379487179487179,390,0.0205128205128205,2,79979200.99,0.580656272024224
19475,1,Ativa,319,0.285714285714286,3,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
4606,1,Extinta,4949,0.0,S/D,S/D,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
1131,1,Ativa,509,0.645161290322581,4,3,2.5972,2.6806,2.6796,1,-0.175687044307347,7132,0.0009814918676388,16,2381121.44,0.0
2755,1,Ativa,5956,0.565217391304348,3,3,2.277,2.2522,2.2522,1,0.109510086455331,1041,0.271853986551393,11,4818332.7,-0.117954586277647
3536,0,Ativa,395,0.75,3,S/C,2.4415,2.4415,2.4415,1,0.207317073170732,82,0.0,1,-22554.53,3.90098774497332
1322,0,Ativa,164,0.46,3,S/C,3.2787,3.1855,2.9054,1,-0.226110363391655,1486,0.133243606998654,11,774597.0,0.0847958130266728
4732,0,Ativa,2531,0.657142857142857,3,3,2.0395,1.9978,1.9978,1,-0.0086206896551723,580,0.0689655172413793,6,-4223661.39,2.06961155617241
21367,1,Ativa,417,0.230769230769231,S/C,S/C,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
5536,1,Extinta,3534,0.0,S/D,S/D,S/D,S/D,S/D,0,0.0,0,0.0,0,0.0,0.0
3786,1,Ativa,1098,0.720588235294118,3,3,2.3097,2.3097,,1,-0.304324612920448,1873,0.211425520555259,13,79979200.99,0.580656272024224
